dir,pong_x,pong_y,bot_x,quality,win
-1,110,623,694,71,False
-2,116,608,676,68,False
-2,134,590,658,68,False
-2,152,572,640,68,False
-2,170,554,622,68,False
-2,188,536,604,68,False
-2,206,518,586,68,False
-2,224,500,568,68,False
-2,242,482,550,68,False
-2,260,464,532,68,False
-2,278,446,514,68,False
-2,296,428,496,68,False
-2,314,410,478,68,False
-2,332,392,460,68,False
-2,350,374,442,68,False
-2,368,356,424,68,False
-2,386,338,406,68,False
-2,404,320,388,68,False
-2,422,302,370,68,False
-2,440,284,352,68,False
-2,458,266,334,68,False
-2,476,248,316,68,False
-2,494,230,298,68,False
-2,512,212,280,68,False
-2,530,194,262,68,False
-2,548,176,244,68,False
-2,566,158,226,68,False
-2,584,140,208,68,False
-2,602,122,190,68,False
-2,620,104,172,68,False
1,638,104,154,50,False
1,656,113,136,23,False
1,674,122,130,8,False
1,692,131,124,-7,False
1,710,140,130,-10,False
1,728,149,134,-15,False
1,746,158,140,-18,False
1,764,167,158,-9,False
1,782,176,174,-2,False
1,800,185,192,7,False
1,818,194,210,16,False
1,836,203,228,25,False
1,854,212,222,10,False
1,872,221,208,-13,False
-2,862,209,210,1,False
-2,844,191,192,1,False
-2,826,173,174,1,False
-2,808,155,156,1,False
-2,790,137,138,1,False
-2,772,119,132,13,False
-2,754,101,138,37,False
1,736,107,120,13,False
1,718,116,126,10,False
1,700,125,144,19,False
1,682,134,138,4,False
1,664,143,124,-19,False
1,646,152,130,-22,False
1,628,161,148,-13,False
1,610,170,166,-4,False
1,592,179,180,1,False
1,574,188,190,2,False
1,556,197,188,-9,False
1,538,206,190,-16,False
1,520,215,204,-11,False
1,502,224,218,-6,False
1,484,233,236,3,False
1,466,242,238,-4,False
1,448,251,256,5,False
1,430,260,254,-6,False
1,412,269,252,-17,False
1,394,278,254,-24,False
1,376,287,248,-39,False
1,358,296,266,-30,False
1,340,305,276,-29,False
1,322,314,292,-22,False
1,304,323,310,-13,False
1,286,332,308,-24,False
1,268,341,310,-31,False
1,250,350,308,-42,False
1,232,359,326,-33,False
1,214,368,344,-24,False
1,196,377,362,-15,False
1,178,386,380,-6,False
1,160,395,386,-9,False
1,142,404,392,-12,False
1,124,413,390,-23,False
1,106,422,408,-14,False
0,120,423,414,-9,False
0,138,423,428,5,False
0,156,423,442,19,False
0,174,423,444,21,False
0,192,423,434,11,False
0,210,423,420,-3,False
0,228,423,422,-1,False
0,246,423,432,9,False
0,264,423,450,27,False
0,282,423,432,9,False
0,300,423,446,23,False
0,318,423,428,5,False
0,336,423,410,-13,False
0,354,423,406,-17,False
0,372,423,416,-7,False
0,390,423,418,-5,False
0,408,423,412,-11,False
0,426,423,406,-17,False
0,444,423,416,-7,False
0,462,423,434,11,False
0,480,423,436,13,False
0,498,423,442,19,False
0,516,423,424,1,False
0,534,423,406,-17,False
0,552,423,408,-15,False
0,570,423,426,3,False
0,588,423,444,21,False
0,606,423,462,39,False
0,624,423,444,21,False
0,642,423,438,15,False
0,660,423,436,13,False
0,678,423,430,7,False
0,696,423,444,21,False
0,714,423,426,3,False
0,732,423,432,9,False
0,750,423,426,3,False
0,768,423,412,-11,False
0,786,423,430,7,False
0,804,423,440,17,False
0,822,423,422,-1,False
0,840,423,443,20,True
0,858,423,440,17,True
1,876,423,413,-10,True
1,858,432,398,-34,True
1,840,441,407,-34,True
1,822,450,429,-21,False
1,804,459,439,-20,False
1,786,468,437,-31,False
1,768,477,455,-22,False
1,750,486,473,-13,False
1,732,495,491,-4,False
1,714,504,509,5,False
1,696,513,527,14,False
1,678,522,541,19,False
1,660,531,543,12,False
1,642,540,557,17,False
1,624,549,539,-10,False
1,606,558,545,-13,False
1,588,567,549,-18,False
1,570,576,567,-9,False
1,552,585,585,0,False
1,534,594,603,9,False
1,516,603,605,2,False
1,498,612,611,-1,False
1,480,621,625,4,False
1,462,630,627,-3,False
1,444,639,629,-10,False
1,426,648,631,-17,False
1,408,657,641,-16,False
1,390,666,659,-7,False
1,372,675,677,2,False
1,354,684,695,11,False
1,336,693,677,-16,False
1,318,702,683,-19,False
1,300,711,701,-10,False
1,282,720,719,-1,False
1,264,729,737,8,False
1,246,738,739,1,False
1,228,747,757,10,False
1,210,756,763,7,False
1,192,765,770,5,True
1,174,774,773,-1,True
1,156,783,794,11,True
1,138,792,821,29,True
1,120,801,824,23,True
2,107,811,821,10,True
2,134,829,818,-11,True
2,161,847,845,-2,True
2,188,865,842,-23,True
2,215,883,827,-56,True
-1,242,901,854,-47,True
-1,269,892,881,-11,True
-1,296,883,872,-11,True
-1,323,874,893,19,True
-1,350,865,890,25,True
-1,377,856,870,14,False
-1,404,847,868,21,False
-1,431,838,878,40,False
-1,458,829,860,31,False
-1,485,820,842,22,False
-1,512,811,824,13,False
-1,539,802,806,4,False
-1,566,793,796,3,False
-1,593,784,790,6,False
-1,620,775,772,-3,False
-1,647,766,758,-8,False
-1,674,757,740,-17,False
-1,701,748,734,-14,False
-1,728,739,732,-7,False
-1,755,730,734,4,False
-1,782,721,732,11,False
-1,809,712,714,2,False
-1,836,703,704,1,False
-1,863,694,694,0,False
-2,866,681,680,-1,False
-2,839,663,674,11,False
-2,812,645,656,11,False
-2,785,627,638,11,False
-2,758,609,620,11,False
-2,731,591,602,11,False
-2,704,573,596,23,False
-2,677,555,578,23,False
-2,650,537,560,23,False
-2,623,519,542,23,False
-2,596,501,524,23,False
-2,569,483,506,23,False
-2,542,465,504,39,False
-2,515,447,486,39,False
-2,488,429,468,39,False
-2,461,411,450,39,False
-2,434,393,432,39,False
-2,407,375,414,39,False
-2,380,357,396,39,False
-2,353,339,378,39,False
-2,326,321,360,39,False
-2,299,303,342,39,False
-2,272,285,328,43,False
-2,245,267,310,43,False
-2,218,249,292,43,False
-2,191,231,274,43,False
-2,164,213,272,59,False
-2,137,195,254,59,False
-2,110,177,236,59,False
-2,83,159,218,59,False
-2,56,141,200,59,False
-2,29,123,182,59,False
-2,2,105,164,59,False
-2,476,370,178,-192,False
-2,449,352,196,-156,False
-2,422,334,214,-120,False
-2,395,316,232,-84,False
-2,368,298,250,-48,False
-2,341,280,268,-12,False
-2,314,262,286,24,False
-2,287,244,268,24,False
-2,260,226,250,24,False
-2,233,208,232,24,False
-2,206,190,214,24,False
-2,179,172,196,24,False
-2,152,154,178,24,False
-2,125,136,160,24,False
-2,98,118,146,28,False
-2,71,100,132,32,False
1,44,106,138,32,False
1,17,115,128,13,False
1,491,157,122,-35,False
1,464,166,140,-26,False
1,437,175,158,-17,False
1,410,184,176,-8,False
1,383,193,194,1,False
1,356,202,196,-6,False
1,329,211,194,-17,False
1,302,220,208,-12,False
1,275,229,210,-19,False
1,248,238,192,-46,False
1,221,247,194,-53,False
1,194,256,212,-44,False
1,167,265,230,-35,False
1,140,274,248,-26,False
1,113,283,266,-17,False
1,122,292,276,-16,False
1,149,301,290,-11,False
1,176,310,308,-2,False
1,203,319,306,-13,False
1,230,328,320,-8,False
1,257,337,314,-23,False
1,284,346,332,-14,False
1,311,355,338,-17,False
1,338,364,336,-28,False
1,365,373,354,-19,False
1,392,382,356,-26,False
1,419,391,366,-25,False
1,446,400,380,-20,False
1,473,409,382,-27,False
1,500,418,396,-22,False
1,527,427,414,-13,False
1,554,436,432,-4,False
1,581,445,446,1,False
1,608,454,444,-10,False
1,635,463,462,-1,False
1,662,472,464,-8,False
1,689,481,482,1,False
1,716,490,484,-6,False
1,743,499,494,-5,False
1,770,508,512,4,False
1,797,517,530,13,False
1,824,526,540,14,False
1,851,535,534,-1,False
-2,878,544,548,4,False
-2,851,526,554,28,False
-2,824,508,536,28,False
-2,797,490,518,28,False
-2,770,472,500,28,False
-2,743,454,494,40,False
-2,716,436,476,40,False
-2,689,418,458,40,False
-2,662,400,440,40,False
-2,635,382,422,40,False
-2,608,364,404,40,False
-2,581,346,386,40,False
-2,554,328,368,40,False
-2,527,310,350,40,False
-2,500,292,344,52,False
-2,473,274,326,52,False
-2,446,256,308,52,False
-2,419,238,290,52,False
-2,392,220,272,52,False
-2,365,202,254,52,False
-2,338,184,236,52,False
-2,311,166,232,66,False
-2,284,148,214,66,False
-2,257,130,196,66,False
-2,230,112,178,66,False
1,203,100,160,60,False
1,176,109,142,33,False
1,149,118,124,6,False
1,122,127,126,-1,False
1,95,136,132,-4,False
1,68,145,138,-7,False
1,41,154,148,-6,False
1,14,163,130,-33,False
1,488,312,132,-180,False
1,461,321,150,-171,False
1,434,330,168,-162,False
1,407,339,186,-153,False
1,380,348,204,-144,False
1,353,357,222,-135,False
1,326,366,240,-126,False
1,299,375,258,-117,False
1,272,384,276,-108,False
1,245,393,294,-99,False
1,218,402,312,-90,False
1,191,411,330,-81,False
1,164,420,348,-72,False
1,137,429,366,-63,False
1,110,438,384,-54,False
1,83,447,402,-45,False
1,56,456,420,-36,False
1,29,465,438,-27,False
1,2,474,456,-18,False
1,476,234,442,208,False
1,449,243,424,181,False
1,422,252,406,154,False
1,395,261,388,127,False
1,368,270,370,100,False
1,341,279,352,73,False
1,314,288,334,46,False
1,287,297,316,19,False
1,260,306,298,-8,False
1,233,315,312,-3,False
1,206,324,326,2,False
1,179,333,316,-17,False
1,152,342,334,-8,False
1,125,351,348,-3,False
1,98,360,366,6,False
1,71,369,384,15,False
1,44,378,392,14,False
1,17,387,374,-13,False
1,491,517,396,-121,False
1,464,526,414,-112,False
1,437,535,432,-103,False
1,410,544,450,-94,False
1,383,553,468,-85,False
1,356,562,486,-76,False
1,329,571,504,-67,False
1,302,580,522,-58,False
1,275,589,540,-49,False
1,248,598,558,-40,False
1,221,607,576,-31,False
1,194,616,594,-22,False
1,167,625,612,-13,False
1,140,634,630,-4,False
1,113,643,648,5,False
1,86,652,662,10,False
1,59,661,680,19,False
1,32,670,694,24,False
1,5,679,676,-3,False
1,479,283,658,375,False
1,452,292,640,348,False
1,425,301,622,321,False
1,398,310,604,294,False
1,371,319,586,267,False
1,344,328,568,240,False
1,317,337,550,213,False
1,290,346,532,186,False
1,263,355,514,159,False
1,236,364,496,132,False
1,209,373,478,105,False
1,182,382,460,78,False
1,155,391,442,51,False
1,128,400,424,24,False
-2,107,406,414,8,False
-2,134,388,400,12,False
-2,161,370,394,24,False
-2,188,352,376,24,False
-2,215,334,358,24,False
-2,242,316,340,24,False
-2,269,298,326,28,False
-2,296,280,308,28,False
-2,323,262,290,28,False
-2,350,244,272,28,False
-2,377,226,254,28,False
-2,404,208,236,28,False
-2,431,190,218,28,False
-2,458,172,200,28,False
-2,485,154,190,36,False
-2,512,136,172,36,False
-2,539,118,154,36,False
-2,566,100,136,36,False
1,593,106,134,28,False
1,620,115,124,9,False
1,647,124,142,18,False
1,674,133,132,-1,False
1,701,142,134,-8,False
1,728,151,140,-11,False
1,755,160,158,-2,False
1,782,169,152,-17,False
1,809,178,154,-24,False
1,836,187,148,-39,False
1,863,196,150,-46,False
-2,866,193,168,-25,False
-2,839,175,170,-5,False
-2,812,157,160,3,False
-2,785,139,154,15,False
-2,758,121,140,19,False
-2,731,103,122,19,False
1,704,106,116,10,False
1,677,115,110,-5,False
1,650,124,120,-4,False
1,623,133,114,-19,False
1,596,142,132,-10,False
1,569,151,134,-17,False
1,542,160,132,-28,False
1,515,169,138,-31,False
1,488,178,156,-22,False
1,461,187,166,-21,False
1,434,196,184,-12,False
1,407,205,198,-7,False
1,380,214,212,-2,False
1,353,223,206,-17,False
1,326,232,224,-8,False
1,299,241,242,1,False
1,272,250,236,-14,False
1,245,259,254,-5,False
1,218,268,268,0,False
1,191,277,282,5,False
1,164,286,296,10,False
1,137,295,302,7,False
1,110,304,288,-16,False
-1,125,299,294,-5,False
-1,152,290,296,6,False
-1,179,281,302,21,False
-1,206,272,296,24,False
-1,233,263,278,15,False
-1,260,254,280,26,False
-1,287,245,262,17,False
-1,314,236,248,12,False
-1,341,227,246,19,False
-1,368,218,232,14,False
-1,395,209,214,5,False
-1,422,200,204,4,False
-1,449,191,198,7,False
-1,476,182,184,2,False
-1,503,173,174,1,False
-1,530,164,172,8,False
-1,557,155,170,15,False
-1,584,146,152,6,False
-1,611,137,134,-3,False
-1,638,128,136,8,False
-1,665,119,118,-1,False
-1,692,110,104,-6,False
-1,719,101,94,-7,False
1,746,106,76,-30,False
1,773,115,70,-45,False
1,800,124,88,-36,False
1,827,133,106,-27,False
1,854,142,124,-18,False
0,875,150,150,0,True
0,848,150,153,3,False
0,821,150,139,-11,False
0,794,150,137,-13,False
0,767,150,135,-15,False
0,740,150,149,-1,False
0,713,150,147,-3,False
0,686,150,161,11,False
0,659,150,143,-7,False
0,632,150,153,3,False
0,605,150,143,-7,False
0,578,150,145,-5,False
0,551,150,151,1,False
0,524,150,153,3,False
0,497,150,147,-3,False
0,470,150,149,-1,False
0,443,150,167,17,False
0,416,150,173,23,False
0,389,150,155,5,False
0,362,150,141,-9,False
0,335,150,143,-7,False
0,308,150,129,-21,False
0,281,150,135,-15,False
0,254,150,125,-25,False
0,227,150,143,-7,False
0,200,150,129,-21,False
0,173,150,135,-15,False
0,146,150,137,-13,False
0,119,150,147,-3,False
0,92,150,149,-1,False
0,65,150,167,17,False
0,38,150,173,23,False
0,11,150,155,5,False
0,485,202,157,-45,False
0,458,202,175,-27,False
0,431,202,193,-9,False
0,404,202,211,9,False
0,377,202,213,11,False
0,350,202,211,9,False
0,323,202,219,17,False
0,296,202,233,31,False
0,269,202,215,13,False
0,242,202,197,-5,False
0,215,202,179,-23,False
0,188,202,161,-41,False
0,161,202,171,-31,False
0,134,202,189,-13,False
0,107,202,203,1,False
0,128,202,213,11,False
0,155,202,231,29,False
0,182,202,213,11,False
0,209,202,199,-3,False
0,236,202,205,3,False
0,263,202,207,5,False
0,290,202,189,-13,False
0,317,202,201,-1,False
0,344,202,195,-7,False
0,371,202,193,-9,False
0,398,202,187,-15,False
0,425,202,205,3,False
0,452,202,207,5,False
0,479,202,193,-9,False
0,506,202,207,5,False
0,533,202,225,23,False
0,560,202,219,17,False
0,587,202,201,-1,False
0,614,202,187,-15,False
0,641,202,202,0,True
0,668,202,223,21,True
0,695,202,196,-6,True
0,722,202,205,3,True
0,749,202,226,24,True
0,776,202,211,9,True
0,803,202,223,21,True
0,830,202,202,0,True
0,857,202,181,-21,True
-2,872,198,208,10,True
-2,845,180,205,25,True
-2,818,162,178,16,True
-2,791,144,157,13,True
-2,764,126,130,4,True
-2,737,108,103,-5,True
1,710,102,100,-2,True
1,683,111,103,-8,True
1,656,120,124,4,True
1,629,129,133,4,True
1,602,138,128,-10,False
1,575,147,142,-5,False
1,548,156,140,-16,False
1,521,165,158,-7,False
1,494,174,172,-2,False
1,467,183,186,3,False
1,440,192,188,-4,False
1,413,201,198,-3,False
1,386,210,204,-6,False
1,359,219,206,-13,False
1,332,228,224,-4,False
1,305,237,234,-3,False
1,278,246,244,-2,False
1,251,255,258,3,False
1,224,264,260,-4,False
1,197,273,262,-11,False
1,170,282,260,-22,False
1,143,291,274,-17,False
1,116,300,288,-12,False
2,119,314,302,-12,False
2,146,332,320,-12,False
2,173,350,334,-16,False
2,200,368,352,-16,False
2,227,386,370,-16,False
2,254,404,380,-24,False
2,281,422,398,-24,False
2,308,440,416,-24,False
2,335,458,430,-28,False
2,362,476,448,-28,False
2,389,494,466,-28,False
2,416,512,484,-28,False
2,443,530,502,-28,False
2,470,548,520,-28,False
2,497,566,538,-28,False
2,524,584,556,-28,False
2,551,602,574,-28,False
2,578,620,580,-40,False
2,605,638,598,-40,False
2,632,656,616,-40,False
2,659,674,634,-40,False
2,686,692,652,-40,False
2,713,710,670,-40,False
2,740,728,688,-40,False
2,767,746,706,-40,False
2,794,764,724,-40,False
2,821,782,742,-40,False
2,848,800,760,-40,False
2,875,818,778,-40,False
-2,854,804,796,-8,False
-2,827,786,786,0,False
-2,800,768,776,8,False
-2,773,750,762,12,False
-2,746,732,752,20,False
-2,719,714,734,20,False
-2,692,696,740,44,False
-2,665,678,722,44,False
-2,638,660,704,44,False
-2,611,642,686,44,False
-2,584,624,668,44,False
-2,557,606,650,44,False
-2,530,588,632,44,False
-2,503,570,614,44,False
-2,476,552,596,44,False
-2,449,534,578,44,False
-2,422,516,560,44,False
-2,395,498,560,62,False
-2,368,480,542,62,False
-2,341,462,524,62,False
-2,314,444,506,62,False
-2,287,426,488,62,False
-2,260,408,470,62,False
-2,233,390,452,62,False
-2,206,372,434,62,False
-2,179,354,416,62,False
-2,152,336,398,62,False
-2,125,318,380,62,False
-2,98,300,362,62,False
-2,71,282,344,62,False
-2,44,264,326,62,False
-2,17,246,308,62,False
-2,491,320,302,-18,False
-2,464,302,308,6,False
-2,437,284,294,10,False
-2,410,266,280,14,False
-2,383,248,270,22,False
-2,356,230,252,22,False
-2,329,212,234,22,False
-2,302,194,216,22,False
-2,275,176,204,28,False
-2,248,158,192,34,False
-2,221,140,174,34,False
-2,194,122,156,34,False
-2,167,104,138,34,False
1,140,104,120,16,False
1,113,113,126,13,False
1,122,122,120,-2,False
1,149,131,122,-9,False
1,176,140,132,-8,False
1,203,149,134,-15,False
1,230,158,144,-14,False
1,257,167,158,-9,False
1,284,176,152,-24,False
1,311,185,146,-39,False
1,338,194,164,-30,False
1,365,203,182,-21,False
1,392,212,200,-12,False
1,419,221,196,-25,False
1,446,230,212,-18,False
1,473,239,222,-17,False
1,500,248,240,-8,False
1,527,257,242,-15,False
1,554,266,223,-43,True
1,581,275,202,-73,True
1,608,284,229,-55,True
1,635,293,256,-37,True
1,662,302,283,-19,True
1,689,311,310,-1,True
1,716,320,331,11,True
1,743,329,310,-19,True
1,770,338,307,-31,True
1,797,347,334,-13,True
1,824,356,361,5,True
1,851,365,388,23,True
1,878,374,415,41,True
1,881,379,388,9,True
0,845,380,361,-19,True
0,809,380,364,-16,True
0,773,380,379,-1,True
0,737,380,388,8,True
0,701,380,385,5,True
0,665,380,358,-22,True
0,629,380,355,-25,True
0,593,380,364,-16,True
0,557,380,341,-39,False
0,521,380,359,-21,False
0,485,380,377,-3,False
0,449,380,383,3,False
0,413,380,365,-15,False
0,377,380,379,-1,False
0,341,380,385,5,False
0,305,380,367,-13,False
0,269,380,349,-31,False
0,233,380,367,-13,False
0,197,380,381,1,False
0,161,380,383,3,False
0,125,380,377,-3,False
0,89,380,371,-9,False
0,53,380,365,-15,False
0,17,380,371,-9,False
1,484,-41,369,410,True
1,448,-32,347,379,False
1,412,-23,329,352,False
1,376,-14,311,325,False
1,340,-5,293,298,False
1,304,4,275,271,False
1,268,13,257,244,False
1,232,22,239,217,False
1,196,31,221,190,False
1,160,40,203,163,False
1,124,49,185,136,False
1,88,58,167,109,False
1,52,67,149,82,False
1,16,76,131,55,False
1,484,204,129,-75,False
1,448,213,147,-66,False
1,412,222,165,-57,False
1,376,231,183,-48,False
1,340,240,201,-39,False
1,304,249,219,-30,False
1,268,258,237,-21,False
1,232,267,255,-12,False
1,196,276,273,-3,False
1,160,285,279,-6,False
1,124,294,285,-9,False
-2,120,291,295,4,False
-2,156,273,285,12,False
-2,192,255,275,20,False
-2,228,237,257,20,False
-2,264,219,239,20,False
-2,300,201,221,20,False
-2,336,183,203,20,False
-2,372,165,209,44,False
-2,408,147,191,44,False
-2,444,129,173,44,False
-2,480,111,155,44,False
1,516,102,137,35,True
1,552,111,128,17,True
1,588,120,107,-13,True
1,624,129,128,-1,True
1,660,138,125,-13,True
1,696,147,146,-1,True
1,732,156,149,-7,True
1,768,165,176,11,True
1,804,174,173,-1,True
1,840,183,176,-7,True
-2,876,192,191,-1,True
-2,840,174,188,14,True
-2,804,156,167,11,True
-2,768,138,146,8,True
-2,732,120,119,-1,True
-2,696,102,116,14,True
1,660,105,119,14,False
1,624,114,115,1,False
1,588,123,121,-2,False
1,552,132,127,-5,False
1,516,141,129,-12,False
1,480,150,135,-15,False
1,444,159,149,-10,False
1,408,168,157,-11,False
1,372,177,147,-30,False
1,336,186,165,-21,False
1,300,195,175,-20,False
1,264,204,177,-27,False
1,228,213,195,-18,False
1,192,222,197,-25,False
1,156,231,203,-28,False
1,120,240,221,-19,False
0,124,244,239,-5,False
0,160,244,257,13,False
0,196,244,255,11,False
0,232,244,245,1,False
0,268,244,243,-1,False
0,304,244,249,5,False
0,340,244,235,-9,False
0,376,244,229,-15,False
0,412,244,227,-17,False
0,448,244,241,-3,False
0,484,244,247,3,False
0,520,244,265,21,False
0,556,244,263,19,False
0,592,244,276,32,True
0,628,244,291,47,True
0,664,244,264,20,True
0,700,244,237,-7,True
0,736,244,240,-4,True
0,772,244,243,-1,True
0,808,244,240,-4,True
0,844,244,255,11,True
0,880,244,282,38,True
-2,884,246,255,9,True
-2,848,232,234,2,True
-2,812,214,207,-7,True
-2,776,196,207,11,True
-2,740,178,180,2,True
-2,704,160,178,18,False
-2,668,142,160,18,False
-2,632,124,142,18,False
-2,596,106,124,18,False
1,560,103,122,19,False
1,524,112,104,-8,False
1,488,121,102,-19,False
1,452,130,116,-14,False
1,416,139,134,-5,False
1,380,148,136,-12,False
1,344,157,154,-3,False
1,308,166,156,-10,False
1,272,175,170,-5,False
1,236,184,176,-8,False
1,200,193,194,1,False
1,164,202,204,2,False
1,128,211,210,-1,False
0,116,217,196,-21,False
0,152,217,206,-11,False
0,188,217,196,-21,False
0,224,217,214,-3,False
0,260,217,200,-17,False
0,296,217,202,-15,False
0,332,217,216,-1,False
0,368,217,218,1,False
0,404,217,212,-5,False
0,440,217,218,1,False
0,476,217,238,21,True
0,512,217,247,30,True
0,548,217,220,3,True
0,584,217,193,-24,True
0,620,217,214,-3,True
0,656,217,217,0,True
0,692,217,202,-15,True
0,728,217,223,6,True
0,764,217,208,-9,True
0,800,217,217,0,True
0,836,217,196,-21,True
0,872,217,193,-24,True
2,836,233,220,-13,True
2,791,251,241,-10,True
2,746,269,268,-1,True
2,701,287,283,-4,True
2,656,305,298,-7,True
2,611,323,325,2,True
2,566,341,326,-15,False
2,521,359,340,-19,False
2,476,377,352,-25,False
2,431,395,362,-33,False
2,386,413,380,-33,False
2,341,431,398,-33,False
2,296,449,416,-33,False
2,251,467,434,-33,False
2,206,485,452,-33,False
2,161,503,470,-33,False
2,116,521,488,-33,False
2,71,539,506,-33,False
2,26,557,520,-37,False
1,485,28,526,498,False
1,440,37,508,471,False
1,395,46,490,444,False
1,350,55,472,417,False
1,305,64,454,390,False
1,260,73,436,363,False
1,215,82,418,336,False
1,170,91,400,309,False
1,125,100,382,282,False
1,80,109,364,255,False
1,35,118,346,228,False
1,495,219,328,109,False
1,450,228,310,82,False
1,405,237,292,55,False
1,360,246,274,28,False
1,315,255,264,9,False
1,270,264,262,-2,False
1,225,273,260,-13,False
1,180,282,270,-12,False
1,135,291,288,-3,False
-1,110,296,294,-2,False
-1,155,287,288,1,False
-1,200,278,284,6,False
-1,245,269,274,5,False
-1,290,260,256,-4,False
-1,335,251,250,-1,False
-1,380,242,240,-2,False
-1,425,233,238,5,False
-1,470,224,248,24,False
-1,515,215,230,15,False
-1,560,206,212,6,False
-1,605,197,214,17,False
-1,650,188,224,36,True
-1,695,179,197,18,True
-1,740,170,173,3,True
-1,785,161,185,24,True
-1,830,152,170,18,True
-1,875,143,143,0,True
-2,840,126,134,8,True
-2,795,108,125,17,True
1,750,102,104,2,True
1,705,111,101,-10,True
1,660,120,116,-4,True
1,615,129,113,-16,True
1,570,138,131,-7,False
1,525,147,141,-6,False
1,480,156,151,-5,False
1,435,165,161,-4,False
1,390,174,171,-3,False
1,345,183,185,2,False
1,300,192,187,-5,False
1,255,201,191,-10,False
1,210,210,209,-1,False
1,165,219,217,-2,False
1,120,228,231,3,False
2,125,242,249,7,False
2,170,260,251,-9,False
2,215,278,269,-9,False
2,260,296,279,-17,False
2,305,314,297,-17,False
2,350,332,315,-17,False
2,395,350,333,-17,False
2,440,368,351,-17,False
2,485,386,369,-17,False
2,530,404,387,-17,False
2,575,422,405,-17,False
2,620,440,411,-29,False
2,665,458,430,-28,True
2,710,476,451,-25,True
2,755,494,466,-28,True
2,800,512,493,-19,True
2,845,530,514,-16,True
-2,870,540,541,1,True
-2,825,522,535,13,True
-2,780,504,508,4,True
-2,735,486,511,25,True
-2,690,468,508,40,True
-2,645,450,495,45,False
-2,600,432,477,45,False
-2,555,414,459,45,False
-2,510,396,445,49,False
-2,465,378,427,49,False
-2,420,360,409,49,False
-2,375,342,391,49,False
-2,330,324,373,49,False
-2,285,306,355,49,False
-2,240,288,337,49,False
-2,195,270,319,49,False
-2,150,252,301,49,False
-2,105,234,283,49,False
2,140,248,265,17,False
2,185,266,259,-7,False
2,230,284,277,-7,False
2,275,302,291,-11,False
2,320,320,297,-23,False
2,365,338,315,-23,False
2,410,356,333,-23,False
2,455,374,351,-23,False
2,500,392,375,-17,True
2,545,410,402,-8,True
2,590,428,423,-5,True
2,635,446,438,-8,True
2,680,464,459,-5,True
2,725,482,480,-2,True
2,770,500,507,7,True
2,815,518,498,-20,True
2,860,536,525,-11,True
0,855,544,546,2,True
0,810,544,549,5,True
0,765,544,546,2,True
0,720,544,549,5,True
0,675,544,543,-1,True
0,630,544,552,8,True
0,585,544,555,11,True
0,540,544,559,15,False
0,495,544,545,1,False
0,450,544,547,3,False
0,405,544,549,5,False
0,360,544,551,7,False
0,315,544,549,5,False
0,270,544,551,7,False
0,225,544,553,9,False
0,180,544,547,3,False
0,135,544,549,5,False
0,90,544,547,3,False
0,45,544,537,-7,False
0,0,544,543,-1,False
0,460,256,529,273,False
0,415,256,511,255,False
0,370,256,493,237,False
0,325,256,475,219,False
0,280,256,457,201,False
0,235,256,439,183,False
0,190,256,421,165,False
0,145,256,403,147,False
-2,100,256,385,129,False
-2,145,238,367,129,False
-2,190,220,349,129,False
-2,235,202,331,129,False
-2,280,184,313,129,False
-2,325,166,295,129,False
-2,370,148,277,129,False
-2,415,130,259,129,False
-2,460,112,241,129,False
1,505,100,223,123,False
1,550,109,205,96,False
1,595,118,187,69,False
1,640,127,169,42,False
1,685,136,151,15,False
1,730,145,145,0,False
1,775,154,159,5,True
1,820,163,150,-13,True
1,865,172,165,-7,True
1,850,181,180,-1,True
1,805,190,171,-19,True
1,760,199,162,-37,True
1,715,208,163,-45,False
1,670,217,181,-36,False
1,625,226,199,-27,False
1,580,235,217,-18,False
1,535,244,235,-9,False
1,490,253,241,-12,False
1,445,262,235,-27,False
1,400,271,253,-18,False
1,355,280,271,-9,False
1,310,289,277,-12,False
1,265,298,295,-3,False
1,220,307,305,-2,False
1,175,316,307,-9,False
1,130,325,325,0,False
2,115,337,323,-14,False
2,160,355,341,-14,False
2,205,373,359,-14,False
2,250,391,377,-14,False
2,295,409,387,-22,False
2,340,427,393,-34,False
2,385,445,411,-34,False
2,430,463,429,-34,False
2,475,481,447,-34,False
2,520,499,465,-34,False
2,565,517,483,-34,False
2,610,535,485,-50,False
2,655,553,503,-50,False
2,700,571,521,-50,False
2,745,589,539,-50,False
2,790,607,557,-50,False
2,835,625,581,-44,True
2,880,643,596,-47,True
2,826,661,611,-50,True
2,772,679,609,-70,False
2,718,697,627,-70,False
2,664,715,645,-70,False
2,610,733,663,-70,False
2,556,751,681,-70,False
2,502,769,699,-70,False
2,448,787,709,-78,False
2,394,805,727,-78,False
2,340,823,745,-78,False
2,286,841,763,-78,False
2,232,859,781,-78,False
2,178,877,799,-78,False
2,124,895,817,-78,False
-1,70,895,835,-60,False
-1,16,886,853,-33,False
-1,464,414,847,433,False
-1,410,405,829,424,False
-1,356,396,811,415,False
-1,302,387,793,406,False
-1,248,378,775,397,False
-1,194,369,757,388,False
-1,140,360,739,379,False
-1,86,351,721,370,False
-1,32,342,698,356,True
-1,482,585,674,89,False
-1,428,576,656,80,False
-1,374,567,638,71,False
-1,320,558,620,62,False
-1,266,549,602,53,False
-1,212,540,584,44,False
-1,158,531,566,35,False
